Année,Ventes_CigaretteY,PrixX
1985,94.75,72.10
1986,93.45,74.70
1987,94.10,76.00
1988,93.00,80.80
1989,94.93,81.30
1990,95.81,79.60
1991,97.10,78.00
1992,96.31,84.30
1993,93.62,98.30
1994,90.11,112.10
1995,88.34,119.60
1996,86.17,126.20
1997,82.98,134.60
1998,83.83,137.60
1999,83.76,143.00
2000,83.50,147.10
2001,84.45,152.10
2002,81.52,161.90
2003,70.59,181.30
2004,69.66,221.10
2005,69.53,218.40
2006,70.74,215.70
2007,69.71,218.10
2008,68.01,220.40
2009,69.81,223.20
2010,69.22,232.00
2011,68.64,240.30
2012,65.32,241.30
2013,60.35,264.10
2014,57.21,276.60
